"MU","month","year","prcp","tmin","tmid","tmidC","tmax"
"EVER",11,2025,32.5119438171387,289.417846679688,295.082397460938,21.9323974609375,300.746948242188
"EVER",12,2025,14.8172435760498,288.883239746094,294.46565246582,21.3156524658203,300.048065185547
"KRV",1,1994,100.402008056641,283.692535400391,289.684555053711,16.534555053711,295.676574707031
"KRV",2,1994,61.9136810302734,286.949981689453,292.749694824219,19.5996948242188,298.549407958984
"KRV",3,1994,56.1757698059082,286.433349609375,293.317260742188,20.1672607421875,300.201171875
"KRV",4,1994,86.8856430053711,290.626220703125,296.813140869141,23.6631408691406,303.000061035156
"KRV",5,1994,70.5635070800781,291.819610595703,298.305618286133,25.1556182861328,304.791625976562
"KRV",6,1994,281.763000488281,294.988128662109,300.289581298828,27.1395812988281,305.591033935547
"KRV",7,1994,176.410949707031,295.028930664062,300.516845703125,27.366845703125,306.004760742188
"KRV",8,1994,199.502044677734,294.972595214844,300.311325073242,27.1613250732422,305.650054931641
"KRV",9,1994,252.864730834961,294.577117919922,299.321685791016,26.1716857910156,304.066253662109
"KRV",10,1994,95.4547348022461,292.468536376953,297.482086181641,24.3320861816406,302.495635986328
"KRV",11,1994,132.08039855957,290.175811767578,295.447204589844,22.2972045898438,300.718597412109
"KRV",12,1994,87.7662124633789,286.466125488281,291.539855957031,18.3898559570313,296.613586425781
"KRV",1,1995,58.5734329223633,281.515899658203,288.074996948242,14.9249969482422,294.634094238281
"KRV",2,1995,51.5479316711426,282.989685058594,289.817596435547,16.6675964355469,296.6455078125
"KRV",3,1995,61.3368759155273,287.342224121094,293.473937988281,20.3239379882813,299.605651855469
"KRV",4,1995,89.2822570800781,289.797637939453,295.840789794922,22.6907897949219,301.883941650391
"KRV",5,1995,61.9335746765137,293.579772949219,299.874954223633,26.7249542236328,306.170135498047
"KRV",6,1995,231.880722045898,294.471435546875,299.853988647461,26.703988647461,305.236541748047
"KRV",7,1995,240.347473144531,295.560455322266,301.135391235352,27.9853912353516,306.710327148438
"KRV",8,1995,247.468826293945,296.701599121094,301.461181640625,28.311181640625,306.220764160156
"KRV",9,1995,160.115768432617,295.513916015625,300.662887573242,27.5128875732422,305.811859130859
"KRV",10,1995,191.603485107422,293.799835205078,298.462707519531,25.3127075195313,303.125579833984
"KRV",11,1995,40.4403343200684,285.340026855469,291.878082275391,18.7280822753906,298.416137695312
"KRV",12,1995,19.4017810821533,282.755523681641,289.038345336914,15.8883453369141,295.321166992188
"KRV",1,1996,116.535758972168,281.439636230469,288.530715942383,15.3807159423828,295.621795654297
"KRV",2,1996,46.9773101806641,281.947601318359,289.301147460938,16.1511474609375,296.654693603516
"KRV",3,1996,163.360702514648,283.549560546875,290.259841918945,17.1098419189453,296.970123291016
"KRV",4,1996,44.5606384277344,287.630981445312,294.36540222168,21.2154022216797,301.099822998047
"KRV",5,1996,113.162857055664,292.658203125,298.644058227539,25.4940582275391,304.629913330078
"KRV",6,1996,210.827102661133,294.006744384766,299.440673828125,26.290673828125,304.874603271484
"KRV",7,1996,105.048286437988,295.472808837891,301.080474853516,27.9304748535156,306.688140869141
"KRV",8,1996,159.012832641602,295.117858886719,300.516967773438,27.3669677734375,305.916076660156
"KRV",9,1996,135.106506347656,294.298736572266,299.876983642578,26.7269836425781,305.455230712891
"KRV",10,1996,96.8101119995117,291.415252685547,296.666122436523,23.5161224365235,301.9169921875
"KRV",11,1996,17.7993602752686,286.648040771484,292.867370605469,19.7173706054688,299.086700439453
"KRV",12,1996,53.0253067016602,283.585601806641,290.224685668945,17.0746856689453,296.86376953125
"KRV",1,1997,39.9756698608398,282.534912109375,289.670272827148,16.5202728271485,296.805633544922
"KRV",2,1997,33.1137733459473,286.650421142578,293.278411865234,20.1284118652344,299.906402587891
"KRV",3,1997,55.3905181884766,289.035583496094,295.344757080078,22.1947570800781,301.653930664062
"KRV",4,1997,137.550994873047,287.903076171875,294.292877197266,21.1428771972656,300.682678222656
"KRV",5,1997,70.0020370483398,291.714874267578,297.760528564453,24.6105285644531,303.806182861328
"KRV",6,1997,179.346038818359,294.219879150391,299.740829467773,26.5908294677735,305.261779785156
"KRV",7,1997,235.241653442383,295.222686767578,300.99577331543,27.8457733154297,306.768859863281
"KRV",8,1997,176.609069824219,295.548645019531,301.005279541016,27.8552795410156,306.4619140625
"KRV",9,1997,156.685424804688,294.398345947266,299.861541748047,26.7115417480469,305.324737548828
"KRV",10,1997,82.2242660522461,290.478363037109,296.320983886719,23.1709838867188,302.163604736328
"KRV",11,1997,138.653060913086,286.758819580078,292.490997314453,19.3409973144531,298.223175048828
"KRV",12,1997,235.606872558594,284.466705322266,289.698913574219,16.5489135742188,294.931121826172
"KRV",1,1998,93.9241333007812,285.102264404297,290.624420166016,17.4744201660156,296.146575927734
"KRV",2,1998,201.950622558594,284.310363769531,290.297485351562,17.1474853515625,296.284606933594
"KRV",3,1998,175.164993286133,284.846374511719,291.061660766602,17.9116607666016,297.276947021484
"KRV",4,1998,30.0523338317871,288.462280273438,294.911193847656,21.7611938476563,301.360107421875
"KRV",5,1998,51.0115432739258,291.913482666016,298.554107666016,25.4041076660156,305.194732666016
"KRV",6,1998,55.0953941345215,295.546630859375,302.333114624023,29.1831146240235,309.119598388672
"KRV",7,1998,214.268112182617,296.203582763672,301.778350830078,28.6283508300781,307.353118896484
"KRV",8,1998,155.442199707031,296.023803710938,301.564147949219,28.4141479492188,307.1044921875
"KRV",9,1998,252.545516967773,295.719390869141,300.217590332031,27.0675903320313,304.715789794922
"KRV",10,1998,44.2555084228516,292.70751953125,298.196090698242,25.0460906982422,303.684661865234
"KRV",11,1998,79.7581329345703,289.365844726562,295.164245605469,22.0142456054688,300.962646484375
"KRV",12,1998,26.1544971466064,286.619812011719,292.6669921875,19.5169921875,298.714172363281
"KRV",1,1999,75.2754745483398,284.409027099609,291.203689575195,18.0536895751953,297.998352050781
"KRV",2,1999,13.2800598144531,283.501159667969,290.782379150391,17.6323791503906,298.063598632812
"KRV",3,1999,21.2759685516357,283.465667724609,291.329971313477,18.1799713134766,299.194274902344
"KRV",4,1999,55.5123710632324,289.179168701172,296.568634033203,23.4186340332031,303.958099365234
"KRV",5,1999,119.55867767334,290.686218261719,297.360473632812,24.2104736328125,304.034729003906
"KRV",6,1999,289.237457275391,294.571166992188,299.682052612305,26.5320526123047,304.792938232422
"KRV",7,1999,123.616111755371,295.452819824219,301.089065551758,27.9390655517578,306.725311279297
"KRV",8,1999,185.000823974609,295.841613769531,301.211578369141,28.0615783691406,306.58154296875
"KRV",9,1999,158.485305786133,294.719390869141,299.774429321289,26.6244293212891,304.829467773438
"KRV",10,1999,148.805313110352,292.097351074219,297.016235351562,23.8662353515625,301.935119628906
"KRV",11,1999,47.523193359375,286.878997802734,292.977752685547,19.8277526855469,299.076507568359
"KRV",12,1999,51.0994644165039,283.856170654297,290.003433227539,16.8534332275391,296.150695800781
"KRV",1,2000,37.0633430480957,282.369140625,289.308990478516,16.1589904785156,296.248840332031
"KRV",2,2000,13.4462738037109,282.920623779297,290.252548217773,17.1025482177735,297.58447265625
"KRV",3,2000,24.6122722625732,287.414428710938,294.283569335938,21.1335693359375,301.152709960938
"KRV",4,2000,51.5161819458008,286.611755371094,294.1650390625,21.0150390625,301.718322753906
"KRV",5,2000,13.8628044128418,291.433685302734,298.636825561523,25.4868255615235,305.839965820312
"KRV",6,2000,160.757888793945,294.040435791016,300.284530639648,27.1345306396485,306.528625488281
"KRV",7,2000,181.406875610352,295.2392578125,300.816360473633,27.6663604736328,306.393463134766
"KRV",8,2000,135.11555480957,295.137451171875,300.667007446289,27.5170074462891,306.196563720703
"KRV",9,2000,185.640426635742,295.109558105469,300.173599243164,27.0235992431641,305.237640380859
"KRV",10,2000,34.5405502319336,289.307189941406,295.623168945312,22.4731689453125,301.939147949219
"KRV",11,2000,23.9054946899414,284.381011962891,291.556213378906,18.4062133789063,298.731414794922
"KRV",12,2000,21.7304344177246,281.937683105469,288.618286132812,15.4682861328125,295.298889160156
"KRV",1,2001,18.013355255127,278.57080078125,286.496780395508,13.3467803955078,294.422760009766
"KRV",2,2001,5.02408313751221,286.343872070312,293.268203735352,20.1182037353516,300.192535400391
"KRV",3,2001,138.107040405273,285.945404052734,292.431335449219,19.2813354492188,298.917266845703
"KRV",4,2001,23.804780960083,288.016510009766,295.050598144531,21.9005981445313,302.084686279297
