"","Nest","Year","Pop","Fledglings","TSI","invaded"
"373",373,1998,"EVER",2,-1,0
"374",374,1998,"EVER",1,-1,0
"375",375,1998,"EVER",1,-1,0
"376",376,1998,"EVER",3,-1,0
"377",377,1998,"EVER",3,-1,0
"378",378,1998,"EVER",2,-1,0
"379",379,1998,"EVER",3,-1,0
"380",380,1998,"EVER",3,-1,0
"381",381,1998,"EVER",2,-1,0
"382",382,1998,"EVER",2,-1,0
"383",383,1998,"EVER",2,-1,0
"384",384,1998,"OKEE",1,-1,0
"385",385,1998,"OKEE",2,-1,0
"386",386,1998,"OKEE",1,-1,0
"387",387,1998,"OKEE",1,-1,0
"388",388,1998,"SJM",1,-1,0
"389",389,1999,"EVER",2,-1,0
"390",390,1999,"EVER",1,-1,0
"391",391,1999,"EVER",1,-1,0
"392",392,1999,"EVER",1,-1,0
"393",393,1999,"EVER",1,-1,0
"394",394,1999,"EVER",2,-1,0
"395",395,1999,"EVER",1,-1,0
"396",396,1999,"EVER",2,-1,0
"397",397,1999,"EVER",1,-1,0
"398",398,1999,"EVER",2,-1,0
"399",399,1999,"EVER",1,-1,0
"400",400,1999,"EVER",1,-1,0
"401",401,1999,"EVER",2,-1,0
"402",402,1999,"EVER",1,-1,0
"403",403,1999,"EVER",1,-1,0
"404",404,1999,"EVER",1,-1,0
"405",405,1999,"EVER",2,-1,0
"406",406,1999,"EVER",1,-1,0
"407",407,1999,"EVER",1,-1,0
"408",408,1999,"EVER",2,-1,0
"409",409,1999,"KRV",2,-1,0
"410",410,1999,"SJM",2,-1,0
"411",411,1999,"SJM",1,-1,0
"412",412,2000,"EVER",1,-1,0
"413",413,2000,"EVER",2,-1,0
"414",414,2000,"EVER",2,-1,0
"415",415,2000,"EVER",2,-1,0
"416",416,2000,"EVER",3,-1,0
"417",417,2000,"EVER",2,-1,0
"418",418,2000,"EVER",2,-1,0
"419",419,2000,"EVER",2,-1,0
"420",420,2000,"EVER",1,-1,0
"421",421,2000,"EVER",2,-1,0
"422",422,2000,"EVER",2,-1,0
"423",423,2000,"EVER",1,-1,0
"424",424,2000,"EVER",2,-1,0
"425",425,2000,"EVER",1,-1,0
"426",426,2000,"EVER",1,-1,0
"427",427,2000,"EVER",2,-1,0
"428",428,2000,"EVER",2,-1,0
"429",429,2000,"EVER",2,-1,0
"430",430,2000,"EVER",2,-1,0
"431",431,2000,"EVER",2,-1,0
"432",432,2000,"EVER",1,-1,0
"433",433,2000,"EVER",2,-1,0
"434",434,2000,"EVER",2,-1,0
"435",435,2000,"EVER",2,-1,0
"436",436,2000,"EVER",1,-1,0
"437",437,2000,"EVER",1,-1,0
"438",438,2000,"EVER",2,-1,0
"439",439,2000,"EVER",2,-1,0
"440",440,2000,"EVER",1,-1,0
"441",441,2000,"EVER",2,-1,0
"442",442,2000,"EVER",1,-1,0
"443",443,2000,"EVER",2,-1,0
"444",444,2000,"EVER",1,-1,0
"445",445,2000,"EVER",2,-1,0
"446",446,2000,"EVER",1,-1,0
"447",447,2000,"EVER",1,-1,0
"448",448,2000,"EVER",1,-1,0
"449",449,2000,"EVER",2,-1,0
"450",450,2000,"EVER",2,-1,0
"451",451,2000,"EVER",1,-1,0
"452",452,2000,"EVER",1,-1,0
"453",453,2000,"EVER",1,-1,0
"454",454,2000,"EVER",2,-1,0
"455",455,2000,"EVER",1,-1,0
"456",456,2000,"EVER",1,-1,0
"457",457,2000,"EVER",1,-1,0
"458",458,2000,"EVER",1,-1,0
"459",459,2000,"EVER",3,-1,0
"460",460,2000,"EVER",2,-1,0
"461",461,2000,"EVER",3,-1,0
"462",462,2000,"EVER",2,-1,0
"463",463,2000,"EVER",3,-1,0
"464",464,2000,"KRV",2,-1,0
"465",465,2000,"KRV",2,-1,0
"466",466,2000,"KRV",1,-1,0
"467",467,2000,"SJM",2,-1,0
"468",468,2001,"KRV",2,-1,0
"469",469,2001,"KRV",2,-1,0
"470",470,2001,"KRV",1,-1,0
"471",471,2001,"KRV",2,-1,0
"472",472,2001,"KRV",1,-1,0
"473",473,2001,"KRV",1,-1,0
"474",474,2001,"KRV",2,-1,0
"475",475,2001,"KRV",2,-1,0
"476",476,2002,"EVER",1,-1,0
"477",477,2002,"EVER",2,-1,0
"478",478,2002,"EVER",2,-1,0
"479",479,2002,"EVER",2,-1,0
"480",480,2002,"EVER",1,-1,0
"481",481,2002,"EVER",3,-1,0
"482",482,2002,"EVER",1,-1,0
"483",483,2002,"EVER",2,-1,0
"484",484,2002,"EVER",1,-1,0
"485",485,2002,"EVER",2,-1,0
"486",486,2002,"EVER",2,-1,0
"487",487,2002,"EVER",2,-1,0
"488",488,2002,"EVER",2,-1,0
"489",489,2002,"EVER",2,-1,0
"490",490,2002,"EVER",2,-1,0
"491",491,2002,"EVER",1,-1,0
"492",492,2002,"EVER",2,-1,0
"493",493,2002,"EVER",2,-1,0
"494",494,2002,"KRV",1,-1,0
"495",495,2002,"KRV",1,-1,0
"496",496,2002,"KRV",1,-1,0
"497",497,2002,"KRV",2,-1,0
"498",498,2002,"KRV",3,-1,0
"499",499,2002,"KRV",2,-1,0
"500",500,2002,"KRV",1,-1,0
"501",501,2002,"KRV",1,-1,0
"502",502,2002,"KRV",2,-1,0
"503",503,2002,"KRV",1,-1,0
"504",504,2002,"KRV",1,-1,0
"505",505,2003,"EAST",1,-1,0
"506",506,2003,"EVER",1,-1,0
"507",507,2003,"EVER",1,-1,0
"508",508,2003,"EVER",2,-1,0
"509",509,2003,"EVER",2,-1,0
"510",510,2003,"EVER",1,-1,0
"511",511,2003,"EVER",1,-1,0
"512",512,2003,"EVER",1,-1,0
"513",513,2003,"EVER",1,-1,0
"514",514,2003,"EVER",1,-1,0
